,_id,username,role,supporter,verified,country,gamesplayed,gameswon,rating,glicko,rd,rank,apm,pps,vs,decaying
11209,5fab25d6ac8ce421be72ed83,frtvhgceg453,user,,False,CA,96,52,4835.152049536667,1126,62,b-,15.08,0.92,29.96,False
11210,5eb43482a59e1e6c236f4ae1,fanatac,user,,False,QA,116,54,4832.850968019927,1125,75,b-,9.15,0.79,18.77,True
11211,5fb62ca90d1b7a21c5371b61,rumii,user,,False,NZ,35,12,4832.646547880362,1125,96,b-,16.23,0.79,31.6,True
11212,5fb7eedb9efe6021cc694968,btw,user,,False,US,32,16,4832.4777475526525,1124,88,b-,14.39,1.09,28.81,True
11213,5fe87b93064ba10b74351b00,kiione,user,,False,US,88,40,4831.779754729051,1126,65,b-,13.39,0.81,27.92,True
11214,601782a8ddd442140aca9201,_rafamelo,user,,False,BR,15,5,4831.550718403979,1121,95,b-,13.64,0.8,27.08,False
11215,5ffde8919ba9edf96ce603df,melonnmusk,user,,False,GB,27,9,4830.245262720023,1124,87,b-,7.88,0.57,18.45,True
11216,5ee0aee14253922c581b3e9e,bujank,user,,False,ID,58,30,4830.146218838779,1124,79,b-,21.03,0.99,39.6,False
11217,5fada5df3a6a8b21b8976f09,fracboi363,user,,False,ID,612,302,4826.326728132113,1125,62,b-,10.39,0.79,20.96,False
11218,5f490d30fdcc602e78a5fd34,therealdad,user,,False,AU,520,240,4825.768941700592,1125,61,b-,15.36,1.04,28.43,False
11219,5ff8baae1f4167321fd1be09,seris,user,,False,US,25,11,4821.849156455441,1123,82,b-,10.09,0.72,23.41,False
11220,5f689b74484fe92b48f72367,rainswag,user,,False,CA,251,124,4817.863339867128,1121,94,b-,11.87,0.81,23.57,True
11221,5fb84f4dac8ce421be750c42,hostdoom,user,,False,CA,70,31,4816.585319918777,1125,63,b-,13.05,0.78,25.8,True
11222,5eebdc9b26ae776c195bb132,jamslug,user,,False,GB,64,31,4816.381152531867,1124,65,b-,13.02,0.86,28.77,True
11223,5ff5f1535d983c3235806d35,pyontol,user,,False,ID,32,14,4816.257219949465,1124,72,b-,12.72,0.88,24.98,False
11224,5ed48b4d0fc2886c082d79d4,mysticace,user,,False,MY,116,61,4815.925637122309,1124,66,b-,7.3,0.7,17.13,False
11225,5fae3fcd0d1b7a21c535d5d0,fandy,user,,False,VN,34,16,4814.057493414588,1123,95,b-,10.63,0.93,24.92,True
11226,60047069e02f61e95e0e5005,nicholaswu0822,user,,False,TW,119,65,4811.853393393291,1124,62,b-,13.32,0.71,27.03,False
11227,5fcb473447d24e21d37b1d83,ink-octo,user,,False,GB,38,17,4811.803508294234,1123,88,b-,14.68,0.86,30.88,True
11228,5fbd576413e8c021da38f29c,dlee,user,,False,US,83,36,4810.4210082199725,1124,63,b-,13.08,0.99,24.55,False
11229,5f99e5ed630a88df787483e8,kamileq,user,,False,BE,103,53,4810.340761600347,1124,63,b-,14.53,0.95,28.83,False
11230,5fb308ad9efe6021cc687211,corgiworgi,user,,False,US,52,28,4808.16297583636,1123,74,b-,13.74,1.03,29.27,True
11231,6001e1058dff3ef996f8c562,aryhandsome,user,,False,MY,159,86,4802.0715058629885,1124,64,b-,10.86,0.73,24.34,True
11232,5fb7814b3a6a8b21b899023b,topk,user,,False,AU,120,57,4801.070446730679,1124,62,b-,14.79,0.93,29.93,False
11233,5f3f06a41fee2b2e8c28a2a9,knifetricks,user,,False,DE,20,7,4800.345886971207,1119,98,b-,9.8,0.71,22.12,False
